epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.1696,1.71585,3.53683,1.81828,0.41664,0.08665,0.05674,0.0345,1.9483,2.95912,1.95613,0.0033277,0.0033277,0.0033277
2,200.939,1.71705,2.97647,1.84115,0.2587,0.09327,0.05962,0.03463,2.0812,3.02303,2.13089,0.00659509,0.00659509,0.00659509
3,309.157,1.73918,2.92323,1.87542,0.60525,0.0674,0.0525,0.02931,2.17859,3.20501,2.26135,0.00979648,0.00979648,0.00979648
4,424.508,1.76214,2.91811,1.91013,0.22393,0.0632,0.04318,0.02667,2.13588,3.26542,2.28261,0.009703,0.009703,0.009703
5,541.974,1.7172,2.82252,1.87836,0.27795,0.11964,0.06671,0.03415,2.07647,3.03371,2.12341,0.009604,0.009604,0.009604
6,663.034,1.6638,2.75461,1.85054,0.25418,0.0829,0.04903,0.02703,1.99486,3.01658,2.15956,0.009505,0.009505,0.009505
7,797.921,1.62964,2.70216,1.82371,0.38991,0.12046,0.09688,0.05452,1.9621,2.92013,2.08944,0.009406,0.009406,0.009406
8,941.15,1.6022,2.64878,1.79382,0.27179,0.13487,0.09733,0.06195,1.84189,2.77755,1.97279,0.009307,0.009307,0.009307
9,1082.02,1.57618,2.60988,1.78043,0.41542,0.11058,0.08812,0.05377,1.91728,2.90371,2.04809,0.009208,0.009208,0.009208
10,1233.51,1.55049,2.57512,1.75173,0.29702,0.15537,0.1031,0.06975,1.84095,2.78181,1.93012,0.009109,0.009109,0.009109
11,1395.21,1.53453,2.54574,1.7419,0.15241,0.18402,0.1251,0.07848,1.78931,2.69532,1.92339,0.00901,0.00901,0.00901
12,1558.33,1.52379,2.516,1.72869,0.21255,0.20371,0.13463,0.08953,1.79167,2.60764,1.90631,0.008911,0.008911,0.008911
13,1731.81,1.50049,2.49899,1.71657,0.35992,0.14386,0.11575,0.07296,1.82454,2.64409,1.94237,0.008812,0.008812,0.008812
14,1907.13,1.49657,2.47195,1.70865,0.3209,0.1524,0.10187,0.06383,1.82434,2.70939,1.89349,0.008713,0.008713,0.008713
