epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.7407,1.12857,1.67319,1.39935,0.53644,0.35644,0.35963,0.2144,1.50724,1.64231,1.58062,0.0033277,0.0033277,0.0033277
2,185.988,1.18681,1.46755,1.43386,0.5081,0.34431,0.34029,0.20006,1.56878,1.69717,1.64025,0.00659509,0.00659509,0.00659509
3,279.232,1.24255,1.53377,1.47822,0.43142,0.29156,0.26012,0.14111,1.71592,1.9916,1.7817,0.00979648,0.00979648,0.00979648
4,372.269,1.30964,1.62882,1.52673,0.46827,0.33244,0.33235,0.17878,1.64565,1.82171,1.74172,0.009703,0.009703,0.009703
5,469.691,1.33115,1.64493,1.54409,0.42665,0.31022,0.28874,0.1565,1.74225,2.00615,1.82541,0.009604,0.009604,0.009604
6,566.208,1.32224,1.64161,1.54548,0.4456,0.31911,0.27241,0.15653,1.67792,1.90681,1.73949,0.009505,0.009505,0.009505
7,663.749,1.31687,1.63985,1.54199,0.42438,0.29511,0.26056,0.14135,1.67645,2.01045,1.75008,0.009406,0.009406,0.009406
8,768.346,1.32475,1.63351,1.54454,0.44664,0.31378,0.28613,0.16098,1.6157,1.85774,1.7296,0.009307,0.009307,0.009307
9,876.988,1.31307,1.63305,1.54236,0.43473,0.34523,0.30525,0.16952,1.66506,1.92209,1.75006,0.009208,0.009208,0.009208
10,974.987,1.30789,1.62255,1.53153,0.47777,0.32203,0.30705,0.17651,1.65908,1.88686,1.76517,0.009109,0.009109,0.009109
11,1077.15,1.30921,1.62139,1.5402,0.47454,0.32622,0.30807,0.17471,1.62844,1.79812,1.73342,0.00901,0.00901,0.00901
12,1174.52,1.30768,1.60864,1.53252,0.46417,0.29511,0.27822,0.16029,1.62551,1.87651,1.70616,0.008911,0.008911,0.008911
13,1269.46,1.29564,1.60257,1.52438,0.46278,0.30756,0.30213,0.16877,1.65056,1.85152,1.73962,0.008812,0.008812,0.008812
14,1364.58,1.30094,1.60703,1.53257,0.43665,0.336,0.29632,0.16496,1.60985,1.84699,1.70274,0.008713,0.008713,0.008713
15,1460.34,1.2953,1.60357,1.52629,0.47406,0.288,0.28408,0.16086,1.61016,1.85252,1.69616,0.008614,0.008614,0.008614
16,1568.05,1.28809,1.59518,1.52432,0.46541,0.30756,0.29388,0.16941,1.63394,1.82858,1.6966,0.008515,0.008515,0.008515
17,1671.83,1.29748,1.58376,1.5271,0.47186,0.33778,0.30884,0.17273,1.63215,1.85161,1.70637,0.008416,0.008416,0.008416
18,1773.08,1.28013,1.57608,1.51293,0.45958,0.32533,0.29801,0.1644,1.66492,1.87846,1.7547,0.008317,0.008317,0.008317
19,1872.54,1.28713,1.57675,1.51821,0.49872,0.29689,0.28938,0.16413,1.62232,1.81129,1.7257,0.008218,0.008218,0.008218
20,1988.7,1.27387,1.57077,1.51205,0.46935,0.328,0.31576,0.18258,1.61491,1.80825,1.69215,0.008119,0.008119,0.008119
21,2096.96,1.26495,1.55555,1.50752,0.42199,0.35239,0.32309,0.18514,1.55133,1.72205,1.68346,0.00802,0.00802,0.00802
22,2207.67,1.26978,1.55496,1.50617,0.44182,0.34489,0.30928,0.17596,1.63735,1.79215,1.71883,0.007921,0.007921,0.007921
23,2311.39,1.26776,1.54418,1.50099,0.47375,0.33867,0.32156,0.1892,1.61024,1.80966,1.69547,0.007822,0.007822,0.007822
24,2415.73,1.26143,1.53818,1.49651,0.49099,0.38413,0.36082,0.21911,1.53286,1.65389,1.63385,0.007723,0.007723,0.007723
25,2523.18,1.26128,1.53335,1.49376,0.51364,0.35733,0.35763,0.20989,1.55428,1.66137,1.67091,0.007624,0.007624,0.007624
26,2631.73,1.26151,1.53829,1.49482,0.54503,0.34489,0.34249,0.19705,1.55237,1.70563,1.6669,0.007525,0.007525,0.007525
27,2739.68,1.25659,1.53321,1.49326,0.49215,0.37689,0.34875,0.20087,1.61438,1.72543,1.70364,0.007426,0.007426,0.007426
28,2849.36,1.26021,1.53207,1.49319,0.49458,0.36,0.34869,0.20397,1.57493,1.73694,1.66666,0.007327,0.007327,0.007327
29,2961.93,1.25531,1.5172,1.48823,0.49461,0.36,0.34648,0.20686,1.54667,1.67385,1.65322,0.007228,0.007228,0.007228
30,3070.11,1.25212,1.50869,1.48341,0.48937,0.35556,0.33188,0.19265,1.54067,1.69214,1.63295,0.007129,0.007129,0.007129
31,3174.97,1.24945,1.50937,1.4809,0.49565,0.35733,0.35149,0.20828,1.51202,1.64695,1.62166,0.00703,0.00703,0.00703
32,3279.27,1.23882,1.49778,1.47869,0.50809,0.35822,0.34155,0.20257,1.5148,1.69872,1.61484,0.006931,0.006931,0.006931
33,3383.59,1.24826,1.50286,1.48053,0.53582,0.32711,0.33334,0.19883,1.52556,1.71078,1.63368,0.006832,0.006832,0.006832
34,3491.05,1.23819,1.49802,1.47326,0.45867,0.37422,0.35019,0.20755,1.54873,1.66165,1.63882,0.006733,0.006733,0.006733
